Srno,RecipeName,Ingredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,TranslatedInstructions,URL
5935,Rise and Ridge Kerat Burji - Cantaloupe Egg Fry Recipe,"1 Ridge Gourd (Turai/ Peerkangai),3 Whole Eggs,1 Onion,1/2 teaspoon Cumin seeds (Jeera),1/4 teaspoon Mustard seeds,1/4 teaspoon White Urad Dal (Split),1/4 teaspoon Black pepper powder,1 tablespoon Sunflower Oil,Salt - Salt,6 Curry leaves",10,25,35,4,South Indian Recipes,Lunch,Eggetarian,"To begin making the Egg And Ridge Gourd Burji, wash and clean the ridge gourd. Remove the outer skin and chop them into small pieces. Set it aside.Heat oil in a kadai. Add mustard seeds, urad dhal and curry leaves.Once mustard seeds clutter, add onion and cook until they become transparent.Add ridge gourd and cook for about 6-8 minutes over medium heat. No need to water as the vegetable leaves water.Add eggs and stir well. Cook until the eggs are cooked and blended well with the vegetable.Add required amount of salt and pepper according to your spice level. Garnish with curry leaves and it is ready to be served.Prepare Egg And Ridge Gourd Burji with healthy ridge gourd and egg and enjoy it with hot steamed rice andÿMixed vegetable sambar.",https://www.archanaskitchen.com/egg-and-ridge-gourd-burji-peerkangai-muttai-poriyal-recipe
5938,Gingerbread Biscotti Recipe,"2 cups All Purpose Flour (Maida) - (more if required),1/4 cup Whole Wheat Flour,1-1/2 teaspoons Baking powder,3 tablespoons Butter,3 tablespoons Sunflower Oil,1/2 cup Brown Sugar (Demerara Sugar) - « ÿcup brown sugar,1/4 cup Molasses - or dark corn syrup or honey or melted jaggery,1-1/2 teaspoons Dry ginger powder,2 teaspoons All spice powder,2 Whole Eggs - lightly whisked,1/4 teaspoon Salt,Hazelnut - handful",15,60,75,4,Italian Recipes,Snack,Eggetarian,"To begin making Gingerbread Biscotti first preheat the oven to 180 degree celcius.Line a baking tray with parchment paper.Mix the whole wheat flour and all purpose flour, ground ginger ,allspice powder, baking powder and salt.In another mixing bowl whisk together the sugar, oil and butter until combined.Add molasses (or corn syrup or honey or liquid jaggery), eggs to the sugar and butter bowl and whisk again.Stir in the dry ingredients to theÿ and mix till it is completely incorporated and it forms a stiff dough .Add little flour if it is very soft.Divide the dough into two parts.Shape each portion into a rough log about 8-9 inches.Bake for about 20-22 minutes till it is firm to touch. Time may vary depending on the oven and size of logs.Cool the logs on the baking sheet.Using a sharp serrated knife carefully cut them into about « inch slices.Place the slices on cookie sheet or sheets and bake on each side for about 10-12 minutes or till the cookies dry out.Cool completely on a wire rack.Store Gingerbread Biscotti recipe in an airtight container and serve during tea timeServe Gingerbread Biscotti recipe withÿKesar Chaiÿ,Coffeeÿ,ÿhot chocolateÿor wine.",http://www.archanaskitchen.com/gingerbread-biscotti-recipe
5939,Beetroot Salad Recipe with Mixed Greens & Feta Cheese,"1 Beetroot - peeled and cut into bite size pieces,1 Onion - thinly sliced,5 - 6 Cherry tomatoes - halved,Iceberg lettuce - one bunch,Rocket leaves - half a bunch,50 grams Feta Cheese,2 tablespoon Melon seeds - roasted,1/4 cup Extra Virgin Olive Oil,Salt and Pepper - to taste,1 teaspoon Za'atar,1 tablespoon Red Wine Vinaigrette",10,20,30,2,Continental,Appetizer,Vegetarian,"To begin making the Beetroot Salad Recipe With Mixed Greens & Feta Cheese, first steam the beetroot in the steamer till al dente or just cooked through.Transfer the steamed beets to a bowl and allow it to cool.While the beetroot is set aside, whisk together ingredients for the dressing in a small bowl.In a large salad mixing bowl add lettuce, rocket leaves, onion, cherry tomato and beetroot.Pour the dressing over the salad and toss gently to coat the salad with the dressing.Add the crumbled feta cheese over the Beetroot Saladÿalong with roasted melon seeds.Serve the salad along with aÿQuick Creamy Pea SoupÿandÿWhole Wheat Rosemary Focaccia Breadÿfor a weeknight dinner.
",http://www.archanaskitchen.com/beetroot-salad-recipe-with-mixed-greens-feta-cheese
5942,Pineapple Chicken Tikka Recipe,"200 grams Chicken breasts - cut into 1-« inch in size,1 Pineapple - cut into triangles,Sunflower Oil - for tossing,1 cup Hung Curd (Greek Yogurt),3 tablespoons Gram flour (besan),3 cloves Garlic - ground to paste,1 inch Ginger - ground to paste,1 tablespoon Kasuri Methi (Dried Fenugreek Leaves) - powdered,1 teaspoon Fennel seeds (Saunf) - roasted ground to powder,1/2 teaspoon Ajwain (Carom seeds),1/2 teaspoon Cumin powder (Jeera),1/2 teaspoon Coriander Powder (Dhania),3/4 teaspoon Black pepper powder,3/4 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,2 teaspoon Garam masala powder,1/4 teaspoon Black Salt (Kala Namak),Salt - to taste",30,15,45,4,North Indian Recipes,Appetizer,High Protein Non Vegetarian,"To begin making the Pineapple Chicken Tikka Recipe, combine the yogurt and gram flour making a smooth paste. Using a pestle and mortar, pound the ginger, garlic, and kasuri methi leaves to make a coarse paste.Add in the fennel seeds and ajwain and pound until blended. Add this to the yogurt mixture. Add in the remaining marinade ingredients into the yogurt mixture and stir to combine well.Place the Chicken pieces & pineapple in a large bowl, add in the marinade and allow it to rest covered for about half an hour to one hour or even overnight.Take a skewer and add chicken pieces and pineapple and line it up till the top. Do the same for the rest of the skewers.Heat a grill pan over medium heat, add a little oil and place few marinated paneer skewer along with a little of the marinade on top.Add a spoon of ghee or oil on the skewers. It will begin to smoke a little, reduce the heat to low and let it sit for about a minute on each side. Keep turning and cook evenly on all the side till it is charred. Leave the skewer for at least 10 minutes on the grill and serve hot.Serve the Chicken Paneer Tikka Recipe along withÿjeera rice, raita andÿcarrot halwaÿto make it a complete meal.",https://www.archanaskitchen.com/pineapple-chicken-tikka-recipe
5944,Blueberry Parfait Recipe,"6 Marie Biscuit - or bourbon biscuits,2 tablespoons Butter - 2 tablespoons butter,2 tablespoons Sugar - icing sugar,1 cup Blueberries - fresh,1/2 cup Blueberry Jam,1 cup Heavy whipping cream,1 teaspoon Vanilla Extract",15,300,315,3,French,Dessert,Vegetarian,"To begin making the Blueberry Parfait, combine the biscuit crumbs along with melted butter and icing sugar.Whisk the cream and vanilla essence until it forms stiff peaks. Keep this asideNow your final step is to layer the Blueberry Parfait into dessert glasses or cups.Layer starting with biscuit crumbs, then alternatively keep adding the whipped cream, blueberries, jam, cream and finally top off with the blueberries.Refrigerate theÿBlueberry Parfait for about 5 hours and serve as a dessert for the holiday parties.",https://www.archanaskitchen.com/blueberry-parfait-recipe
5946,Andhra Style Pappu Charu Recipe - Andhra Style Pappu Charu Recipe,"1 cup pigeonpea, 3 green chillies - or dry red chillies, 10 cloves garlic - grated, 1 tomato - chopped, 1 onion - chopped, 2 tbsp tamarind paste, 1/2 tsp turmeric powder, salt - As per taste, 2 tbsp ghee, 6 curry leaves, 1 tsp rye, asafoetida - a pinch",16,30,46,4,Andhra,Lunch,High Protein Vegetarian,"?????? ?????? ????? ???? ?????? ????? ?? ??? ???? ???? ??? ?? ????? ??? ?? ?? ?? 15 ?? 20 ???? ?? ??? ???? ??.ÿ?? ?? ?????? ???? ??? ???, ?????, ?????, ??? ?????, 6 ??? ?????, ????? ?????, 2 ?? ???? ???? ?? ???? ??.ÿ???? ?? ??? ???? ?? ??? ?? ?? ??. 4 ?? 5ÿ???? ??? ?? ??? ??. ?????? ???? ?? ?????? ?? ?? ???? ???? ?? ??? ?? ??.ÿ???? ???? ?? ???, ???? ???? ?? ??? ?? ??? ?? ??.ÿ?? ????? ???? ?? ?????, ???, ?????, 1 ?? ???? ???? ?? ??? ?? ???? ???? ?? ????? ??. ??? ??? ??? ??.???? ?? ???, ?? ???? ??? ??? ?? ??? ????? ????? ??? ???? ?? ????? ??. ????? ?? ??? ????? ????, ??? ????? ???? ?? 15 ???????? ?? ??? ??.ÿ???? ?? ??? ??? ???? ?? ???? ??. ???? ??? ??????ÿ?????? ?????? ????? ????ÿ?? ???? ??ÿ??? ??? ????ÿ?? ??? ???? ??? ?? ???? ?? ??? ??????
",https://www.archanaskitchen.com/andhra-style-pappu-charu-recipe-lentil-soup-style-curry-in-hindi
5947,Mavinakayi Chutney Recipe - Mavinakai Chutney Recipe,"2 ????? ?? - ??? ??,5 ???? ??? ?????,1/2 ???? ????? ???,1/2 ???? ????? ???? ?? ????,1/4 ???? ????? ????,????,1 ??? ????? ?????? ?? ???,??? - ????? ??????",5,10,15,2,Karnataka,Side Dish,Vegetarian,"???????? ???? ?????? ????? ?? ??? ???? ???? ?? ???? ???? ??? ??? ??? ????? ??? ??? ???? ?? ??? ????? ??? ???? ?? ????? ??.??? ?? ????? ?? ??? ????? ???? ?? ????,ÿ????, ???? ???? ?? 20 ???????? ?? ???? ??. ?? ????? ???? ??? ????? ???? ?? 1 ???? ?? ???? ??. ??? ??? ???? ?? ???? ???? ??.?? ?????? ?? ????? ?? ?? ??? ?? ??? ??????? ??? ???? ?? ????? ??? ?? ??? ??. ???? ??? ?????? ?? ??????ÿ???????? ???? ??????ÿ?? ?? ????? ???? ?? ?????? ???? ?? ??? ???? ?? ?????? ?? ??? ??????
",http://www.archanaskitchen.com/mavinakayi-chutney-recipe-south-canara-raw-mango-chutney-in-hindi
5949, Tawa Paneer Masala (Recipe In Hindi),"3 cups Paneer - cut into pieces, 1 teaspoon Kasuri Methi, 1 teaspoon Red Chilli Powder, 1/4 teaspoon Turmeric Powder, Salt - as per taste, Oil - As per use, 1/2 teaspoon Cumin seeds, 1/2 teaspoon Teaspoon celery, 1/2 cup onion - finely chopped, 2 teaspoons garlic - make a paste, 1 teaspoon coriander powder, 1 cup tomato puree, 1/2 teaspoon royal cumin - compress, 2 tablespoons cream, 1 Teaspoon Green Chilli - finely chopped, 1/2 teaspoon garam masala powder",30,20,50,5,North Indian Recipes,Dinner,Vegetarian,"To make Tawa Paneer Masala, first prepare sari ingredients. Put the paneer in a bowl. Add turmeric powder, red chili powder, kasoori methi and salt. Mix and keep aside for 20 minutes. Now heat oil in a pan. Fry the paneer on both sides. Cook for 2 to 3 minutes and keep it aside. Pour the remaining oil in a pan. Add cumin and royal cumin to it. Add onion after 15 seconds and cook till it becomes soft. After it becomes soft, add garlic, chilli, coriander powder and mix. Add tomato puree, celery and let it cook for 3 minutes. Between the bitches After 3 minutes add paneer, cream, garam masala and mix. Cook another 2 to 3 minutes. After that turn off the gas and garnish with green coriander. Serve Tawa Paneer Masala along with Tawa Paratha and Spinach Raita for day khan.",http://www.archanaskitchen.com/tawa-paneer-masala-recipe-in-hindi
5953, Rajasthani Sev Tamatar Ki Sabzi (Recipe In Hindi),"Oil - as per use, 1/2 cup save - use any, 1/2 teaspoon mustard, 1/2 teaspoon cumin seeds, asafetida - a pinch, 1 tablespoon ginger garlic paste, 2 green chillies - finely chopped , 2 onions - finely chopped, 2 tomatoes - chopped, 1/2 teaspoon turmeric powder, 1/4 teaspoon red chilli powder, 1/2 teaspoon Kashmiri red chilli powder, 1 teaspoon coriander powder, salt - use According, 1 teaspoon lemon juice, water - as per use, 3 sprig of green coriander - finely chopped",10,20,30,2,Rajasthani,Lunch,Vegetarian,"To make Rajasthani seva tomato vegetable, heat oil in a pan. Add the mustard seeds, cumin, asafoetida and let it cook for 10 seconds. After 10 seconds, add green chilli and garlic ginger paste to it. Let it cook for 20 to 30 seconds. After 20 to 30 seconds, add chopped onions and cook till they become soft. Once softened, add chopped tomatoes. Mix well and cook until the tomatoes are soft. After turmeric add turmeric powder, red chilli powder, Kashmiri red chilli powder, coriander powder and salt. Mix well and cook for 4 to 5 minutes. After 4 to 5 minutes, add some water to it. Let it cook for 5 minutes. Add it after 5 minutes, add lemon juice and mix them all. Cook for 30 seconds, turn off the gas and garnish with green coriander. Rajasthani Sev Tomato vegetable is cooked with Rajasthani kadhi, Kachumbar salad and roti.",https://www.archanaskitchen.com/rajasthani-sev-tamatar-ki-sabzi-recipe-in-hindi
5954,Farfalle Garlic-And-Oil Recipe,"200 grams Pasta - farfalle,5 cloves Cloves (Laung) - minced,1/2 teaspoon Red Chilli flakes,Salt - as required,1 sprig Parsley leaves - chopped,3 tablespoon Extra Virgin Olive Oil",10,30,40,2,Italian Recipes,Dinner,Vegetarian,"To begin with Farfalle Aglio-E-Olio, first cook the pasta until al dente and drain the water. Rinse the pasta in cold water to prevent the pasta from getting overcooked.ÿHeat olive oil in a wide pan, add the minced garlic and saute until a nice aroma comes from.Add the cooked farfalle, chilly flakes, saute for few minutes until the pasta gets the the flavors from the olive oil and garlic.ÿFinally add the chopped parsley leaves, toss gently and serve.Serve Farfalle Aglio-E-Olio withÿSummer Lettuce Saladÿand a glass of wine for a weekend night dinner.
",https://www.archanaskitchen.com/farfalle-aglio-e-olio-recipe
5955, Varan Bhaat Recipe,"1/4 cup arhar dal, 1 green chilli - finely chopped, 1/4 cup coconut - grated, 1 tsp cumin seeds, 1/2 tsp turmeric powder, salt - as per taste, 2 tbsp ghee, 1/4 1 teaspoon asafoetida, 1 teaspoon cumin seeds",10,30,40,2,Goan Recipes,Lunch,Vegetarian,"??? ??? ?????? ????? ?? ??? ???? ???? ?? ?????? ???? ??? ???? ??? ?? ??? ??? ?????, 1 ?? ???? ???????? ???? ??? ???? ?? 2 ???? ??? ?? ??? ??. ?? ??? ?? ???? ???? ?? 5 ???? ?? ??? ??? ??.ÿ??? ??? ?? ??.ÿ?????? ???? ?? ?????? ??.ÿ?? ?? ?????? ???????? ??? ??????, ????? ?????, ????, ???? ???? ???? ?? ??? ??. ?? ????? ??? ??? ???, ??? ????, ?????ÿ?? ???? ??? ????? ??.???? ?? ??? ?? ???? ??? ??? ?? ??? ????? ????? ????, ???? ???? ?? 10 ???????? ?? ??? ??? ??. ???? ?? ??? ??? ???? ?? ???? ??. ??????ÿ??? ??? ??????ÿ?? ???? ??ÿ??? ????? ?? ???ÿ?? ?????ÿ?? ??? ??? ?? ???? ?? ??? ??????
",http://www.archanaskitchen.com/varan-bhaat-recipe-simple-quick-lentil-dish-in-hindi
5956,Mixed Vegetable Koora Recipe - Mixed Vegetable Poriyal,"1 Sweet Potato - peeled and diced,2 Potatoes (Aloo) - peeled and diced,1 Carrot (Gajjar) - peeled and diced,2 cups Avarekai (Broad Beans) - chopped,2 cups Methi Leaves (Fenugreek Leaves) - chopped,8 Green Chillies,1/4 cup Water,3 tablespoons Sesame seeds (Til seeds),1/4 cup Fresh coconut,1 tablespoon Jaggery,Salt - to taste,1/4 teaspoon Turmeric powder (Haldi),2 tablespoon Sunflower Oil,1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),1 sprig Curry leaves",15,20,35,5,Andhra,Main Course,Vegetarian,"To begin making Kalle Koora/Mixed Vegetable Koora Recipe, roast the sesame seeds on low heat until they are golden.Cool them to room temperature and grind into a coarse powder along with grated coconut and Jaggery. Set aside until needed.ÿIn a mixer, add the green chillies along with turmeric powder. Keep aside.Pressure cook the vegetables in 1/4 cup of water for 3 to 4 whistles and turn off the heat. Release the pressure immediately.Place a heavy bottomed pan on medium flame and add a 1 tablespoon of oil.ÿOnce the oil is hot add the mustard seeds, cumin seeds and curry leaves. Allow then to crackle.ÿAdd in the coconut jaggery sesame mixture and the ground green chilli paste and saute for a minute or two until raw flavour of the green chillies disappears.ÿNext add in the chopped vegetables, stir the Kalle Koora/Mixed Vegetable Koora well and saute for couple of minutesÿuntil moisture released from the jaggery evaporates.ÿTurn off the heat, check the salt and spices and adjust accordingly. Transfter theÿKalle Koora/Mixed Vegetable Koora to a serving bowl and serve hot.Serve Kalle Koora/Mixed Vegetable Koora recipe along with Steamed Rice,ÿMoong Dal Rasam/Pesara Pappu Charu RecipeÿandÿNuggekai Kharbyaali Recipe (North Karnataka Spiced Drumstick Sambar)ÿfor a truly complete and wholesome lunch
",http://www.archanaskitchen.com/mixed-vegetable-koora-recipe-mixed-vegetable-poriyal
5958,Carrot Peanut Chutney Recipe,"1 ???? - ????? ??? ??,2 ??? ????? ???????ÿ - ??? ??,1/4 ?? ??????,1 ??? ????? ?????? - ?? ??,1 ?????,1 ??? ????? ????? - ??? ??,3 ??? ?????,??? - ????? ??????,1 ???? ????? ??? ?? ???,1 ???? ????? ???,1 ???? ??? ?????",15,15,30,5,South Indian Recipes,Side Dish,Vegetarian,"To make Carrot Peanut Chutney, first put the peanuts in a pan and roast them till they become golden. Turn off the gas and allow the peanuts to cool. Take out the skin from it after it cools down. Now heat some oil in a pan. Add mustard seeds, curry leaves and let it cook for 10 seconds. Now add onion, green chillies and garlic and cook till the onion becomes soft. Now add coconut, carrot and mint leaves. Cook for 5 minutes and turn off the gas. Let it cool. Pour this mixture in a mixer grinder with some water and grind it. Add salt, mix and serve. Serve carrot peanut chutney with ghee dosa or rava idli for dinner.",http://www.archanaskitchen.com/carrot-peanut-chutney-recipe-in-hindi
5959,Baked Pumpkin Cream Cheese French Toast Recipe - Breakfast Bread Pudding Recipe,"6 Whole Wheat Brown Bread - cut into cubes,1 cup Britannia Cream Cheese,1/2 cup Milk,1/2 cup Kaddu (Parangikai/ Pumpkin) - pureed,3 tablespoons Sugar,1 teaspoon Nutmeg powder,1/2 teaspoon Cinnamon Powder (Dalchini),1 teaspoon Vanilla Extract,1/4 cup All Purpose Flour (Maida),1/4 cup Brown Sugar (Demerara Sugar),1/2 teaspoon Cinnamon Powder (Dalchini),1/4 Butter (unsalted) - cut into cubes,1/2 cup Walnuts - chopped,Salt - a pinch",5,60,65,4,Continental,World Breakfast,Vegetarian,"We begin making the Baked Pumpkin Cream Cheese French Toast by preheating the oven at 180 degree Celsius for 10 minutes.Cook the pumpkin in aÿpressure cooker with little oil, cinnamon sticks, nutmeg powder and a pinch of salt.Cook it for 2 whistles till it is in a condition to smash it using a back of a fork. Release the pressure naturally, and then remove the cinnamon sticks and mash it coarsely.Transfer to a bowl with milk and sugar, whisk it thoroughly till it is combined and keep it aside.Now heat a pan with a dollop of butter, as the butter melts, add the cut bread and toast it till it light brown and keep it aside.Next is to make the crumb topping, in a bowl add all-purpose flour,ÿbrown sugar,ÿcinnamon powder,ÿunsalted butter,ÿwalnuts,ÿand mix it thoroughly and keep it aside.It is the time to assemble the French toast so in order to do that, we need a flat casserole, grease it with oil or butter.Add the toasted bread cubes, then pour in the pumpkin mixture, and then add few dollops of cream cheese and spread it evenly.At the end, spread over the crumb topping evenly and bake it in the oven for 30 minutes at 180 degree Celsius.Serve the Baked Pumpkin Cream Cheese French Toastÿ as a party dessert for a special occasion.You could also serve the Baked Pumpkin Cream Cheese French Toast as a breakfast meal along with a glass ofÿBeetroot Carrot Tomato & Ginger Juice Recipeÿfor a wholesome breakfast meal.ÿ",https://www.archanaskitchen.com/baked-pumpkin-cream-cheese-french-toast-recipe-breakfast-bread-pudding-recipe
5960,Thalassery Chicken Biriyani Recipe,"2 Bay leaves (tej patta),1 Cardamom (Elaichi) Pods/Seeds,1 tablespoon Whole Black Peppercorns,5 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),1 cup Red matta rice - washed thoroughly,Salt - to taste,1 inch Ginger,5 cloves Garlic,3 Green Chilli,300 grams Chicken - curry cut,2 Onions - sliced,3 Tomatoes - chopped,1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),2 tablespoon Garam masala powder,1/4 cup Coriander (Dhania) Leaves - chopped,1/4 cup Mint Leaves (Pudina) - chopped,1 Lemon juice,1/2 cup Milk,5 Saffron strands,1 tablespoon Cashew nuts,1 tablespoon Ghee",20,60,80,4,Kerala Recipes,One Pot Dish,Non Vegeterian,"To begin making the Thalassery Chicken Biriyani Recipe, wash the chicken pieces thoroughly,ÿWe will first par boil the rice in the pressure cooker. Heat the pressure cooker with oil on medium heat, add bay leaf, cardamom, peppercorns, cinnamon stick and allow the spices to sizzle. Add washed and drained rice and 2 1/2 cups of water with salt and pressure cook for 3 whistle and switch off the heat.ÿAllow the pressure to release naturally, remove the lid and drizzle some oil over the rice and mix it so that the rice grains will separate from each other.In a mixer-jar combine the ginger, garlic and green chilli and grind into a smooth paste using very little water.ÿHeat another pressure cooker with oil on medium flame, add chopped onions and saute till they turn brown and are well caramelized. This will take about 5-7 minutes. Transfer to a bowl and set aside.ÿNow add in the chopped tomatoes and a pinch of salt for the tomatoes to cook. Mash the tomatoes with the back of your spatula and cook until the oil is released from the sides.At this stage add the ground ginger garlic and green chilli paste, chilli powder, salt (keep in mind the rice has salt as well), turmeric powder and the chopped herbs. Saute well for another 10 more minutes.Add the chicken pieces and mix well. Squeeze in lemon juice add about 1/2 cup of water cover and cook on low heat for 20 minutes.Open the lid, add caramelized onions and mix well. Saute until the masala thickens little.ÿMeanwhile heat the milk with saffron strands and keep it readyOnce that gravy is thickened, layer the par boiled rice over the masala carefully. Pour warm saffron milk over the rice and sprinkle with little herbs on top.Pressure cook the rice for about 1 whistle and turn it off. Allow the pressure to release naturally and open the lid and mix the Thalassery Biryani and serve it over a plate.In a small pan, heat ghee and toast the cashew nuts and top it over the Biriyani and serve hot.Serve the Thalassery Chicken Biriyani Recipe along withÿraita,ÿcarrot and cucumber saladÿfor a lazy sunday lunch with your family.
",https://www.archanaskitchen.com/thalassery-chicken-biriyani-recipe
5961,Mochar Ghonto Recipe (Traditional Banana Blossom Curry From West Bengal),"1 Banana flower (Vazhaipoo) - cleaned and chopped,1 Potato (Aloo) - cubed,1/4 teaspoon Turmeric powder (Haldi) - divided,1/2 teaspoon Red Chilli powder,1/4 teaspoon Garam masala powder,1/2 teaspoon Sugar,Salt - to taste,1/4 cup Fresh coconut - finely chopped,2 Green Chillies - finely chopped,2 teaspoons Mustard oil,2 Bay leaf (tej patta),1/2 teaspoon Cumin seeds (Jeera),1/2 inch Ginger - grated,4 Garlic - grated,1 teaspoon Ghee - (clarified butter)",10,80,90,3,Bengali Recipes,Dinner,Vegetarian,"To begin making the Mochar Ghonto recipe, we will first clean the banana blossom/plantain flower.Oil your hands and start working with the banana flowers.Firstly, peel the purple layers and remove the florets. In each floret remove the longest string with a round head called the 'stamen' and the translucent thin cover.Now chop the florets finely and soak them in diluted buttermilk or plain water.Add turmeric and salt to the buttermilk and allow it to soak overnight (refrigerated) or at least for 30 minutes.To cook the banana blossom/plantain flower, drain the water from the florets.Pressure cook them in a cooker with 1/2 cup water upto 2 whistles. Once cool, gently mash using the back of a ladle.The next step is to make the curry. Heat a heavy bottomed pan with mustard oil over low flame.When the oil starts to smoke, add bay leaves and cumin seeds.Now add the grated ginger and garlic and saute for 30 seconds.Stir in the cubed potatoes, chilli powder, salt and 1/4 cup water let the potatoes cook for 5 to 7 minutes.Once the potatoes are cooked and dry add the cooked banana blossom, sugar and mix well. Cook covered for 2 minutes.Adjust salt and add the ground coconut-chilli mixture.Immediately add the garam masala powder, stir well over medium flame and switch off. Garnish with a teaspoon of ghee.Mochar Ghonto is a dry curry recipe and is often served along with steaming hot rice and ghee.
",https://www.archanaskitchen.com/mochar-ghonto-recipe-traditional-banana-blossom-curry-from-west-bengal
5962,Oatmeal Dosa Recipe - Savory Oatmeal Breakfast Crepes (Recipe In Hindi),"1 cup oatmeal, 1 cup wheat flour, 1/2 cup semolina, 1/2 cup yogurt, 3 cups water, 2 green chillies - finely chopped, 1 teaspoon cumin powder, 1 tablespoon whole pepper - crush , 2 tablespoons Coriander - chopped, oil - according to use, salt - as per taste",20,30,50,4,South Indian Recipes,South Indian Breakfast,High Protein Vegetarian,"?????? ???? ?????? ?????ÿÿ?? ???, ?? ???? ????? ??? ???? ??????? ??? ??, ?????ÿ?? ??? ???? 10 ???? ?? ??? ?? ?? ??? 10 ???? ?? ???, ????? ??? ?? ????? ?? ???? ????? ?? ???? ??????????? ??? ??.ÿ?? ???ÿ?? ?????? ??? ?? ??? ????? ????? ??? ???? ?? ???? ??? ???? ??. ????? ???? ???? ?? ?????? ???? ?? ????? ?? ??? ?? ??? ???? ??? ??.ÿ????ÿ?? ????? ??????? ?? ??? ???? ?? ????? ??? ?? ???? ??. ?? ???? ?? ???? ?? ??? ??? ????? ???? ?? ???? ??.ÿ???? ?? ??? ???? ??? ??????ÿ????? ???? ?? ?????? ?? ???? ?? ?????? ???? ?? ??? ?????? ?? ??? ??????
",http://www.archanaskitchen.com/savoury-oatmeal-breakfast-crepes-recipe-in-hindi
5969,Pakodi Koora Recipes,"1/3 cup Brinjal (Baingan / Eggplant) - cut into 2 cm cubes,1/3 cup Cauliflower (gobi) - cut into small florets,1/3 cup Potato (Aloo) - cut into 2 cm cubes,1/2 Onion - finely chopped,1/2 Onion - sliced,2+2 tablespoons Sesame seeds (Til seeds),2 tablespoons Raw Peanuts (Moongphali) - skinned,1+1 teaspoon Red Chilli powder,1 tablespoon Coriander Powder (Dhania),1/2 tablespoon Coriander (Dhania) Seeds,Few Curry leaves,3 Green Chillies - slit,2 teaspoons Ginger Garlic Paste,1/2 teaspoon Turmeric powder (Haldi),1/2 cup Gram flour (besan),1 to 2 tablespoons Rice flour,Few sprig Coriander (Dhania) Leaves - chopped,Salt - as required,Sunflower Oil - as needed",20,40,60,4,Indian,Dinner,Vegetarian,"To begin making the Pakodi Koora, heat oil in a kadai/wok for frying.In an another mixing bowl add the potatoes, cauliflower, eggplants, onions, besan, rice flour, 10 chopped curry leaves, 2 tablespoon coriander leaves, 1/2 tablespoon coriander seeds, 1 teaspoon sesame seeds, 1 teaspoon red chilli powder and salt to taste. Sprinkle water little be little to bring the pakora batter together.You should be able to drop this mixture into the oil in dry dollops.Drop these pakoras into hot oil and cook them till golden brown.In a pan add sesame and peanuts and roast until fragrant (do not brown them) and add into a mixer jar with enough water to blend it into a smooth paste.In a wide pan, heat some oil add the remaining curry leaves, sliced onions, pinch of salt and ginger garlic paste and cook until the onions start to brown.Lower the flame and add the sesame-peanut paste and mix vigorously as this easily catches the bottom.Add 3/4th cup of water and mix well. To this add turmeric powder, coriander powder and red chilli powder, mix well, add the fried pakodis and cook for about 3 to 5 minutes. This is a semi-dry gravy.Garnish with remaining coriander leaves and it is ready to be served.Serve Pakodi Koora with a bowl of hot steamed rice and south Indian style Papadums.
",http://www.archanaskitchen.com/pakodi-koora-recipes
5970,Sweet And Spicy Thai Style Paneer Recipe,"200 grams Paneer (Homemade Cottage Cheese) - cut to small squares,4 tablespoons Thai Red Curry Paste,2 tablespoons Sriracha sauce,1 Lemon - juiced,6 Garlic - finely chopped,2 Green Chillies - finely chopped,Salt and Pepper - as per taste,1 tablespoon Sunflower Oil,1 tablespoon Sesame seeds (Til seeds) - toasted,Roasted Peanuts (Moongphali),Onion - sliced,Lemon wedges,Spring Onion Greens - chopped,Coriander (Dhania) Leaves - chopped",15,40,55,5,Indian,Snack,Vegetarian,"To begin with Thai Style Paneer Recipe, first we will marinate the paneer.. In a mixing bowl, add the Thai red curry paste, sriracha sauce,ÿLemon, garlic, green chillies, salt, pepper and oil. Stir well to combine.Add in the paneer batons and carefully mix in the marinade.Please be gentle to ensure the paneer doesn't break. Let it sit for 30 minutes in the refrigerator.ÿSoak the skewers in some water and keep aside.ÿWhen ready, get the paneer out of the fridge. Heat up your grill pan or outdoor grill, brush 2 tablespoons oil on the pan.Grill the marinated paneer for 2-3 minutes on both the sides. Don't overcook or it will become rubbery.While grilling, make sure to baste it with the remaining marinade or at least some oil or melted butter.Take the thai style paneer off the grill as soon as you get grill marks and transfer onto a plate.ÿ Garnish the Thai paneer with sesame seeds, panuts, spring onion greens, coriander leaves. Place a few lemon wedges and onions on the side and serve hot.ÿServe Sweet And Spicy Thai Style Paneer Recipe along withÿÿChilli Coriander Fried RiceÿandÿRoasted Eggplant in Schezwan Sauce.",http://www.archanaskitchen.com/sweet-and-spicy-thai-style-paneer-recipe
